Date,Name,Year,Letterboxd URI
2025-12-20,22 Jump Street,2014,https://boxd.it/5Fvy
2025-12-20,The Mummy,1999,https://boxd.it/2a7a
2025-12-20,Bee Movie,2007,https://boxd.it/22Vw
2025-12-20,Lilo & Stitch,2025,https://boxd.it/kbUe
2025-12-20,Death Becomes Her,1992,https://boxd.it/1YQi
2025-12-20,Lisa Frankenstein,2024,https://boxd.it/ByjY
2025-12-20,Airplane!,1980,https://boxd.it/29yu
2025-12-20,The Matrix Reloaded,2003,https://boxd.it/2a1c
2025-12-20,Chicago,2002,https://boxd.it/28zm
2025-12-20,27 Dresses,2008,https://boxd.it/21x4
2025-12-20,Batman,1989,https://boxd.it/2aIU
2025-12-20,The Fifth Element,1997,https://boxd.it/71k
2025-12-20,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40
2025-12-20,The Addams Family,1991,https://boxd.it/267g
2025-12-20,The 40 Year Old Virgin,2005,https://boxd.it/21hK
2025-12-20,Watchmen,2009,https://boxd.it/1QE4
2025-12-20,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu
2025-12-20,The Purge,2013,https://boxd.it/4Xg0
2025-12-20,Final Destination 3,2006,https://boxd.it/1Z40
2025-12-20,Labyrinth,1986,https://boxd.it/1POC
2025-12-20,Sleepy Hollow,1999,https://boxd.it/26u0
2025-12-20,Ralph Breaks the Internet,2018,https://boxd.it/edAy
2025-12-20,Signs,2002,https://boxd.it/26t2
2025-12-20,Tarzan,1999,https://boxd.it/18YO
2025-12-20,Click,2006,https://boxd.it/1YVM
2025-12-20,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs
2025-12-20,Enchanted,2007,https://boxd.it/24co
2025-12-20,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq
2025-12-20,Step Brothers,2008,https://boxd.it/1SsE
2025-12-20,"As Above, So Below",2014,https://boxd.it/7yui
2025-12-20,The Machinist,2004,https://boxd.it/248c
2025-12-20,The Descent,2005,https://boxd.it/1YNy
2025-12-20,Million Dollar Baby,2004,https://boxd.it/2bdI
2025-12-20,Braveheart,1995,https://boxd.it/2aTI
2025-12-20,The Lion King,2019,https://boxd.it/eSjI
2025-12-20,The Lost World: Jurassic Park,1997,https://boxd.it/2azS
2025-12-20,District 9,2009,https://boxd.it/1Iik
2025-12-20,Orphan,2009,https://boxd.it/1CgM
2025-12-20,Hellraiser,1987,https://boxd.it/1Zpi
2025-12-20,300,2006,https://boxd.it/28XI
2025-12-20,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo
2025-12-20,The Karate Kid,1984,https://boxd.it/27Wk
2025-12-20,The Love Witch,2016,https://boxd.it/cZie
2025-12-20,Audition,1999,https://boxd.it/1UHm
2025-12-20,The Ring,2002,https://boxd.it/2a70
2025-12-20,The Interview,2014,https://boxd.it/6KQ4
2025-12-20,Miss Congeniality,2000,https://boxd.it/28GM
2025-12-20,Speed,1994,https://boxd.it/28qk
2025-12-20,A Cinderella Story,2004,https://boxd.it/1UgU
2025-12-20,What's Eating Gilbert Grape,1993,https://boxd.it/28xg
2025-12-20,Lars and the Real Girl,2007,https://boxd.it/21tG
2025-12-20,Who Framed Roger Rabbit,1988,https://boxd.it/29ry
2025-12-20,2 Fast 2 Furious,2003,https://boxd.it/2a4g
2025-12-20,Zombieland: Double Tap,2019,https://boxd.it/bgb6
2025-12-20,Gran Torino,2008,https://boxd.it/1Qzy
2025-12-20,American Pie,1999,https://boxd.it/27qy
2025-12-20,You've Got Mail,1998,https://boxd.it/1Yye
2025-12-20,The Lovely Bones,2009,https://boxd.it/20IA
2025-12-20,Cloverfield,2008,https://boxd.it/2192
2025-12-20,Gattaca,1997,https://boxd.it/29Du
2025-12-20,Bruce Almighty,2003,https://boxd.it/2aCC
2025-12-20,Poltergeist,1982,https://boxd.it/2a0o
2025-12-20,Pocahontas,1995,https://boxd.it/1W2g
2025-12-20,Rashomon,1950,https://boxd.it/2a9K
2025-12-20,The Host,2006,https://boxd.it/28ZY
2025-12-20,Child's Play,1988,https://boxd.it/1VTo
2025-12-20,BEEF,2023,https://boxd.it/FPsm
2025-12-20,Lolita,1962,https://boxd.it/29Ag
2025-12-20,Charlie's Angels,2000,https://boxd.it/24v6
2025-12-20,Space Jam,1996,https://boxd.it/26YO
2025-12-20,Twister,1996,https://boxd.it/29S0
2025-12-20,17 Again,2009,https://boxd.it/1Jnq
2025-12-20,Frankenweenie,2012,https://boxd.it/bPS
2025-12-20,The Karate Kid,2010,https://boxd.it/15HA
2025-12-20,Panic Room,2002,https://boxd.it/2490
2025-12-20,Quantum of Solace,2008,https://boxd.it/1Vs8
2025-12-20,Limitless,2011,https://boxd.it/Aly
2025-12-20,King Kong,2005,https://boxd.it/2aLa
2025-12-20,Don't Worry Darling,2022,https://boxd.it/mViu
2025-12-20,Frankenhooker,1990,https://boxd.it/1saE
2025-12-20,Donkey Skin,1970,https://boxd.it/22V2
2025-12-20,Damsel,2024,https://boxd.it/sFY2
2025-12-20,Cowboy Bebop,1998,https://boxd.it/ptES
2025-12-20,Avatar: Fire and Ash,2025,https://boxd.it/2W7s
2025-12-20,When Harry Met Sally...,1989,https://boxd.it/29W2
2025-12-22,Lost and Found,1996,https://boxd.it/3Vt0
2025-12-22,The Wedding Banquet,1993,https://boxd.it/1Z82
2025-12-22,Plastic,2008,https://boxd.it/c94Y
2025-12-22,The Secret of Roan Inish,1994,https://boxd.it/1OiA
2025-12-23,Cloud Atlas,2012,https://boxd.it/2W60
2025-12-24,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI
2025-12-25,In Time,2011,https://boxd.it/FPS
2025-12-26,Office Space,1999,https://boxd.it/28Em
2025-12-27,Angela's Ashes,1999,https://boxd.it/1WmK
2025-12-27,Thirteen,2003,https://boxd.it/1UPK
2025-12-28,Scouts Guide to the Zombie Apocalypse,2015,https://boxd.it/8i6Q
2025-12-31,Open Water,2003,https://boxd.it/2bbM
2025-12-31,Buried,2010,https://boxd.it/1tXC
2025-12-31,The Day After Tomorrow,2004,https://boxd.it/2aog
2025-12-31,Nowhere,2023,https://boxd.it/HypO
2025-12-31,Aquamarine,2006,https://boxd.it/1OAE
2026-01-02,The Substance,2024,https://boxd.it/zanS
2026-01-03,Closer,2004,https://boxd.it/270K
2026-01-03,The Ugly Stepsister,2025,https://boxd.it/MZBM
2026-01-03,Creep,2014,https://boxd.it/7l4c
2026-01-03,Creep 2,2017,https://boxd.it/dSEO
2026-01-06,The Lure,2015,https://boxd.it/d3mE
2026-01-16,Soul Plane,2004,https://boxd.it/1RtG
2026-01-17,Ruby Sparks,2012,https://boxd.it/3w9O
2026-01-17,Weapons,2025,https://boxd.it/EMTM
2026-01-19,The Prince of Egypt,1998,https://boxd.it/1XGQ
2026-01-23,Under the Skin,2013,https://boxd.it/3mDa
2026-01-23,Casino,1995,https://boxd.it/2ads
2026-01-24,Eternity,2025,https://boxd.it/LYtK
2026-01-25,Beowulf,2007,https://boxd.it/26Xw
2026-01-25,Like Water for Chocolate,1992,https://boxd.it/1Hq8
2026-01-28,Trap,2024,https://boxd.it/D4nK
2026-01-28,It's a Wonderful Life,1946,https://boxd.it/28xA
2026-01-31,Me Before You,2016,https://boxd.it/9n98
2026-02-07,Burlesque,2010,https://boxd.it/Xfo
2026-02-07,Sausage Party,2016,https://boxd.it/6CCe
2026-02-07,The Other Guys,2010,https://boxd.it/1rtq
2026-02-12,The Descent: Part 2,2009,https://boxd.it/1dOO
2026-02-12,Why Him?,2016,https://boxd.it/c3Wq
2026-02-12,Mortal Kombat,2021,https://boxd.it/gswA
2026-02-12,Mortal Kombat,1995,https://boxd.it/1YZY
2026-02-12,Hackers,1995,https://boxd.it/1WhU
2026-02-12,The Bodyguard,1992,https://boxd.it/29Z6
2026-02-12,Angel-A,2005,https://boxd.it/1UjO
2026-02-12,The Craft,1996,https://boxd.it/1Zai
